Title,Link,Genre,Good chapter
月兔复仇记,https://m.dongmanmanhua.cn/COMEDY/yuetufuchouji/list?title_no=1343,"comedy, sci-fi, shounen",Start from beginning
一品芝麻狐,https://m.kuaikanmanhua.com/mobile/686/list/,"comedy, strip, supernatural",
不凡的江湖,https://m.kuaikanmanhua.com/mobile/6272/list/,"adventure, wuxia",
不自然博物馆,https://m.kuaikanmanhua.com/mobile/152/list/,"comedy, strip",
俺哥来自深山,https://m.kuaikanmanhua.com/mobile/5728/list/,"comedy, strip, supernatural",
僵尸奶爸,https://m.dongmanmanhua.cn/COMEDY/jiangshinaiba/list?title_no=1324,"comedy, zombie",Start from beginning
入伍吧！魔法少女,https://m.webtoons.com/zh-hant/comedy/mofashaonu/list?title_no=1120,"comedy, superhero",
再见，曾经喜欢的你,https://m.kuaikanmanhua.com/mobile/752/list/,"comedy, romance",
刀鞘的孩子,https://m.kuaikanmanhua.com/mobile/6117/list/,"fantasy, wuxia",
叫我森先生,https://m.kuaikanmanhua.com/mobile/96/list/,"comedy, strip",
吾皇巴扎黑,https://m.kuaikanmanhua.com/mobile/68/list/,"comedy, pet, strip",https://m.kuaikanmanhua.com/comics/244076?Source=6&TimeStamp=2020-03-27%2013%3A15%3A35%3A486
噩梦之城,https://m.kuaikanmanhua.com/mobile/1180/list/,"crime, thriller",
天经地易,https://m.kuaikanmanhua.com/mobile/2979/list/,"action, supernatural",
帮主！帮主！,https://m.kuaikanmanhua.com/mobile/4261/list/,"comedy, wuxia",
幻想少女,https://m.kuaikanmanhua.com/mobile/5521/list/,anthology,
废柴狐狸阿桔,https://m.kuaikanmanhua.com/mobile/861/list/,"comedy, fantasy, strip",
有猫在,https://m.kuaikanmanhua.com/mobile/149/list/,"comedy, pet, strip",https://m.kuaikanmanhua.com/mobile/comics/1096/?topic_id=149
柔美的细胞君,https://m.dongmanmanhua.cn/HEALING/xibaojun/list?title_no=465,"comedy, strip",
猫猫虫咖波,https://m.webtoons.com/zh-hant/comedy/maomaochongkapo/list?title_no=394,"comedy, strip, wordless",https://www.webtoons.com/zh-hant/comedy/maomaochongkapo/%E7%AC%AC521%E8%A9%B1-%E5%91%BC%E6%8B%89%E5%9C%88%E7%BE%8E%E5%91%B3%E5%B0%8F%E9%9B%9E/viewer?title_no=394&episode_no=529
章鱼,https://m.kuaikanmanhua.com/mobile/4219/list/,supernatural,
绝顶,https://m.dongmanmanhua.cn/BOY/jueding/list?title_no=1331,"comedy, wuxia",
羽影,https://m.kuaikanmanhua.com/mobile/3131/list/,sports,
耐撕房东,https://m.kuaikanmanhua.com/mobile/3263/list/,"comedy, fantasy",Start from beginning
花样家族,https://m.dongmanmanhua.cn/COMEDY/huayangjiazu/list?title_no=306,comedy,Start from beginning
街球江湖,https://m.kuaikanmanhua.com/mobile/4049/list/,sports,
话少点广告部,https://m.kuaikanmanhua.com/mobile/2031/list/,"comedy, strip, workplace",
超感追踪,https://m.kuaikanmanhua.com/mobile/1714/list/,"crime, supernatural, thriller",
这也算超能力？,https://m.kuaikanmanhua.com/mobile/5181/list/,"comedy, supernatural",
郭九二漫画宇宙,https://m.dongmanmanhua.cn/COMEDY/guojiuermanhuayuzhou/list?title_no=1445,"comedy, family",
非人哉,https://m.kuaikanmanhua.com/mobile/531/list/,"comedy, fantasy, strip",
